date,value
31 Jul 2016,34
30 Jul 2016,47
29 Jul 2016,35
28 Jul 2016,27
27 Jul 2016,24
26 Jul 2016,11
25 Jul 2016,26
24 Jul 2016,27
23 Jul 2016,25
22 Jul 2016,26
21 Jul 2016,21
20 Jul 2016,19
19 Jul 2016,14
18 Jul 2016,22
17 Jul 2016,21
16 Jul 2016,14
15 Jul 2016,18
14 Jul 2016,20
13 Jul 2016,12
12 Jul 2016,18
11 Jul 2016,21
10 Jul 2016,21
09 Jul 2016,23
08 Jul 2016,15
07 Jul 2016,13
06 Jul 2016,20
05 Jul 2016,20
04 Jul 2016,13
03 Jul 2016,20
02 Jul 2016,24
01 Jul 2016,24
30 Jun 2016,27
29 Jun 2016,21
28 Jun 2016,18
27 Jun 2016,12
26 Jun 2016,16
25 Jun 2016,13
24 Jun 2016,18
23 Jun 2016,23
22 Jun 2016,16
21 Jun 2016,26
20 Jun 2016,25
19 Jun 2016,21
18 Jun 2016,29
17 Jun 2016,20
16 Jun 2016,19
15 Jun 2016,28
14 Jun 2016,11
13 Jun 2016,23
12 Jun 2016,13
11 Jun 2016,27
10 Jun 2016,25
09 Jun 2016,18
08 Jun 2016,29
07 Jun 2016,23
06 Jun 2016,25
05 Jun 2016,18
04 Jun 2016,17
03 Jun 2016,27
02 Jun 2016,23
01 Jun 2016,17
31 May 2016,19
30 May 2016,20
29 May 2016,26
28 May 2016,23
27 May 2016,19
26 May 2016,16
25 May 2016,20
24 May 2016,31
23 May 2016,23
22 May 2016,30
21 May 2016,19
20 May 2016,21
19 May 2016,24
18 May 2016,22
17 May 2016,18
16 May 2016,28
15 May 2016,17
14 May 2016,16
13 May 2016,23
12 May 2016,21
11 May 2016,16
10 May 2016,14
09 May 2016,28
08 May 2016,28
07 May 2016,38
06 May 2016,24
05 May 2016,24
04 May 2016,22
03 May 2016,31
02 May 2016,31
01 May 2016,32
30 Apr 2016,30
29 Apr 2016,31
28 Apr 2016,19
27 Apr 2016,14
26 Apr 2016,16
25 Apr 2016,40
24 Apr 2016,43
23 Apr 2016,36
22 Apr 2016,20
21 Apr 2016,18
20 Apr 2016,32
19 Apr 2016,28
18 Apr 2016,28
17 Apr 2016,37
16 Apr 2016,27
15 Apr 2016,26
14 Apr 2016,14
13 Apr 2016,31
12 Apr 2016,17
11 Apr 2016,22
10 Apr 2016,22
09 Apr 2016,28
08 Apr 2016,33
07 Apr 2016,18
06 Apr 2016,16
05 Apr 2016,18
04 Apr 2016,19
03 Apr 2016,32
02 Apr 2016,24
01 Apr 2016,29
31 Mar 2016,29
30 Mar 2016,25
29 Mar 2016,28
28 Mar 2016,22
27 Mar 2016,41
26 Mar 2016,24
25 Mar 2016,25
24 Mar 2016,23
23 Mar 2016,23
22 Mar 2016,20
21 Mar 2016,39
20 Mar 2016,46
19 Mar 2016,26
18 Mar 2016,39
17 Mar 2016,25
16 Mar 2016,30
15 Mar 2016,35
14 Mar 2016,43
13 Mar 2016,41
12 Mar 2016,27
11 Mar 2016,29
10 Mar 2016,23
09 Mar 2016,34
08 Mar 2016,27
07 Mar 2016,44
06 Mar 2016,30
